Prop_lost,median1,median2
0.89411,0.142,0.09475
0.8945,0.142,0.09475
0.89526,0.142,0.09475
0.89564,0.142,0.0945
0.89602,0.14125,0.0945
0.89602,0.14025,0.0945
0.89641,0.14,0.0945
0.89679,0.13975,0.0945
0.89717,0.13975,0.0945
0.89755,0.13975,0.0945
0.89794,0.1395,0.0945
0.8987,0.1395,0.0945
0.89946,0.1395,0.0945
0.89985,0.13925,0.0945
0.90061,0.13925,0.09425
0.90099,0.13925,0.09425
0.90176,0.13925,0.09425
0.90252,0.13925,0.09425
0.90329,0.13925,0.09425
0.90367,0.13925,0.09425
0.90443,0.13875,0.09425
0.90482,0.138,0.09425
0.90558,0.1375,0.09425
0.90596,0.13675,0.09425
0.90673,0.136,0.09425
0.90749,0.13525,0.094
0.90787,0.1345,0.094
0.90864,0.134,0.0935
0.90979,0.133,0.0935
0.91055,0.13175,0.0935
0.91131,0.13025,0.0935
0.91208,0.1285,0.0935
0.91284,0.12675,0.0935
0.91361,0.12525,0.0935
0.91437,0.1235,0.0935
0.91476,0.122,0.09325
0.91552,0.12025,0.09275
0.91628,0.11825,0.09275
0.91705,0.116,0.0925
0.91781,0.1145,0.09225
0.91858,0.11325,0.09225
0.91934,0.112,0.09225
0.92049,0.1115,0.09225
0.92125,0.11075,0.09225
0.92202,0.10975,0.09225
0.92278,0.109,0.092
0.92393,0.1085,0.0915
0.92469,0.1075,0.0915
0.92546,0.10675,0.0915
0.92661,0.1055,0.09125
0.92737,0.1045,0.091
0.92813,0.10375,0.09075
0.92928,0.10375,0.09025
0.93005,0.1035,0.09
0.93081,0.103,0.09
0.93196,0.1025,0.09
0.93272,0.1025,0.089
0.93387,0.1025,0.08875
0.93502,0.10175,0.08825
0.93578,0.10175,0.088
0.93693,0.1015,0.088
0.93807,0.10125,0.0875
0.93922,0.1005,0.08725
0.94037,0.1,0.0865
0.94151,0.09925,0.08625
0.94266,0.0975,0.08625
0.94381,0.09625,0.08625
0.94495,0.095,0.08525
0.9461,0.09375,0.08475
0.94725,0.09175,0.084
0.94839,0.08975,0.08375
0.94992,0.08725,0.0825
0.95107,0.0855,0.082
0.95222,0.084,0.081
0.95336,0.0825,0.08
0.95451,0.08175,0.0795
0.95566,0.081,0.07875
0.95719,0.0805,0.078
0.95833,0.08,0.0765
0.95948,0.07925,0.0755
0.96063,0.07875,0.074
