Prop_lost,median1,median2
0.78479,0.386,0.546
0.78593,0.384,0.5445
0.78708,0.3815,0.543
0.78823,0.3795,0.541
0.78937,0.377,0.537
0.79052,0.375,0.533
0.79167,0.374,0.53
0.7932,0.3715,0.527
0.79434,0.371,0.524
0.79549,0.3695,0.5235
0.79664,0.3675,0.523
0.79778,0.366,0.5215
0.79893,0.3635,0.52
0.80008,0.361,0.5185
0.80122,0.358,0.511
0.80237,0.355,0.502
0.80352,0.351,0.4965
0.80466,0.348,0.487
0.80581,0.345,0.479
0.80696,0.342,0.475
0.8081,0.3385,0.4705
0.80925,0.3355,0.4685
0.8104,0.333,0.466
0.81154,0.33,0.4635
0.81269,0.3275,0.46
0.81384,0.3245,0.454
0.81537,0.3215,0.4475
0.81651,0.319,0.4455
0.81766,0.316,0.4435
0.81881,0.313,0.439
0.81995,0.3105,0.4365
0.8211,0.308,0.433
0.82225,0.3045,0.4305
0.82339,0.3015,0.429
0.82454,0.297,0.4285
0.82569,0.292,0.428
0.82683,0.2875,0.424
0.82798,0.2845,0.4165
0.82913,0.2805,0.412
0.83028,0.2775,0.409
0.83142,0.274,0.403
0.83257,0.2705,0.3965
0.83372,0.267,0.3915
0.83486,0.2625,0.3835
0.83601,0.2585,0.376
0.83716,0.254,0.3715
0.8383,0.2495,0.37
0.83945,0.245,0.368
0.8406,0.2405,0.367
0.84174,0.2375,0.363
0.84289,0.234,0.3595
0.84404,0.2305,0.355
0.84518,0.227,0.349
0.84633,0.224,0.3405
0.84748,0.2215,0.3285
0.84862,0.219,0.3225
0.84977,0.2165,0.316
0.85092,0.2155,0.3055
0.85206,0.214,0.2945
0.85321,0.2125,0.283
0.85436,0.212,0.2745
0.8555,0.2115,0.269
0.85665,0.2105,0.2625
0.85818,0.2085,0.2575
0.85933,0.207,0.2515
0.86047,0.205,0.248
0.86162,0.2035,0.245
0.86277,0.203,0.2405
0.86391,0.2025,0.233
0.86506,0.202,0.225
0.86621,0.2015,0.214
0.86735,0.201,0.213
